name,filename,mapId,mapUid,bronzeScore,silverScore,goldScore,authorScore
Cyndel ',Cyndel '.Map.Gbx,d34dde0a-3c8f-4898-8ffd-798a94d9ed35,i1dNE2QlD7F_4U7TcTaLb27SUb3,77000,62000,55000,50999
$CCCMonochrome Autodrome $FFFft Henkisme,Monochrome Autodrome ft Henkisme.Map.Gbx,84c18503-1bd5-4e00-8c33-d115f34f9401,JbAXjnGHGmsmjbVWQRIDJAHuJGg,77000,62000,54000,50853
$s$i$fffDamn Homie $fff(ft $000Massa$fff),Damn Homie (ft Massa).Map.Gbx,c0ef9585-dcc3-452e-82c3-2c2731ed0622,jLmJj73ddiweGmmNERijPyLjQ_8,75000,60000,53000,49690
Double Take,Double Take.Map.Gbx,b9f4f79a-8e2c-463e-8c9d-362157622d32,jO0XzSun1bH2Uwmpb_Z1T5wX_ug,66000,53000,47000,43661
$s$FF9K$FFAa$FFCp $FFDT$EEBr$DD9e$CC8l$BB6a$994w$BB6n$CC8e$DD9y,Kap Trelawney.Map.Gbx,341df28e-6528-4a96-abca-21cf915e24fe,jsF0p9kNOJth6lcxAUzhBvfKxla,72000,58000,51000,47893
$oRoof Edges,Roof_Edges.Map (1).Gbx,a2c2af39-395e-49f2-ad4c-cdcdbe323a6d,K0yfSgH6E4PqcYF5O81hKCGnH3i,53000,42000,37000,34706
$s$d33Infrared ,Infrared_.Map.Gbx,81fb7140-b6c9-49eb-ae8e-9e16f97ee3a6,lAb2bt5VZD18kqYrB4zeqe14mrl,65000,52000,46000,43000
$s$i$f00X $49fF$48fs$38en$fff'$38et $28dft$fff' $17cXef$07bas,X Fsn't ft' Xefas.Map.Gbx,b40309f3-39a1-49e3-b0a5-8670f32c080b,LGShJ4L3dlCUKfJ8uvj6AZtdqQk,76000,61000,54000,50021
$000Steel Sy$000m$210p$420h$630o$840n$A50y$C60 ,Steel Symphony .Map.Gbx,2e9070df-e26e-44a8-b66a-d290278928d8,loN0F4rnZx67_11f3JMX1esNQ6f,73000,58000,51000,48005
$o$sWhere is my Tuna,Where_is_my_Tuna.Map.Gbx,4afac821-7568-47a4-a4f3-6555929fa72f,lRkasluxzZOS2RuN7mzj4VPvp1f,62000,50000,44000,40857
NEO-CUPRA - $0bfCHAOTIC SPACE,NEO-CUPRA_-_CHAOTIC_SPACE.Map (1).Gbx,c561f607-cae4-46c0-9ecc-a9e93cb12c01,Mas6_o183qy6H7jUfAKWm3Zeyx9,70000,56000,50000,46655
Neon Zen,Neon Zen.Map.Gbx,776c155f-b644-41a6-94c3-becd8025b84a,MBJ2ytoIKjvEEYMFncY8oLubP_7,77000,61000,54000,50833
$s$w$3FFV$4FEa$6FEl$7FDh$7FDa$8FEll$9FFa,Valhalla.Map (2).Gbx,b811e3c1-698f-49f7-a6c1-df193f09aa94,Mh7eoeVIlpNQ5_5PC95aaAjHq59,70000,56000,50000,46326
$i$oGilneas - The Market,Gilneas_-_The_Market.Map.Gbx,6aa09ea9-ede5-49eb-ada0-84a118dc9c75,MPqHmbBfY8OXKnArMcCZGbd_Jqg,71000,57000,50000,46996
KEKL  - Another Rainbow Road,KEKL_-_Another_Rainbow_Road.Map.Gbx,ef4045de-722e-4c6c-a9ea-0d1cce45e4a2,MsCfHde9bpRbpTu79eQorrjVr12,74000,59000,52000,48918
$o$n$9CFA$BDFe$DEFth$FFFer$9CFW$BDFo$DEFrl$FFFd,AetherWorld.Map.Gbx,318aee86-5f8c-4c01-b55a-e6f3c640c5af,mtDRosxUx4FDktpNpULXmZB2ua5,70000,55000,45000,42528
$sTreetops Terrace $zft' deadfish ,Treetops Terrace ft' deadfish .Map.Gbx,af37487f-be47-447e-bf79-284f1cbd1f41,mypmhJoJcJvcaASfHeDho4T6eF0,74000,60000,53000,49315
Recycle,Recycle.Map (1).Gbx,e6737216-2ec7-4a5d-a778-93ba7bb680ca,nqR_20zGr7dcJzWwhf3xcDzPrMi,68000,55000,48000,45100
Humble Hollow,Humble Hollow.Map.Gbx,49b259ad-52f8-4198-b939-9888c5671cf4,o9OT97QRfFeImi1R80id2lYaAU2,69000,55000,49000,45346
$s$i$8f9Verdance $fffft' Westcomb,Verdance ft' Westcomb.Map.Gbx,6c68fad2-ac45-4667-8be8-de73ed50cebf,OCO1T7IyQXbMzzehkTojft1quz0,63000,50000,45000,41585
$i$o$666Lost $FC0Archives $FFFFt Sp4ck0,Lost Archives Ft Sp4ck0.Map.Gbx,af5e7234-c82e-4078-a454-0017bfe6f903,OsmbUTeeK_gKsfOhlPrKeHfv4y9,71000,57000,50000,46858
$O$s$FCD[WRL]$z - $cfc Bioengineered,WRL_-_Bioengineered.Map.Gbx,64ebcdb8-e3c1-4e6b-a455-47ec29ab6f86,OvZF6O03njUsGypzTOPIpT1v4kb,74000,59000,52000,49024
A $FBEMoment$FFF of Clarity,A Moment of Clarity.Map.Gbx,6465c21c-291e-4045-a8a9-442ab2c12859,p5xL9t6n7l1xh1z_b85WU4AkoL6,70000,56000,50000,46559
$i$t$298[$3fezak$298]$z $sConcrete Dreams LITE,[zak] Concrete Dreams Lite.Map.Gbx,33a958d6-5b24-4029-bf78-9b743879e679,PoOe_e3jsux17xzebLYNRUw_Lq9,76000,61000,54000,50231
$s$o$FC0Poly Bridge,Poly Bridge.Map.Gbx,2df58b1e-c317-4d9f-9923-f8981c380e5b,pYVMs_DcJzazfdUekEqu_4JjOuj,61000,49000,43000,40368
$C96Crossroads,Crossroads.Map.Gbx,aec2bbdc-0b76-45fc-bedd-a429bbc276f0,Q6OzG8Ksw3gy7B3fkrocJCwRj1i,71000,57000,50000,47008
$309F$30Ai$20An$20Bga$20Cl$10D's$10E $00Ec$00Fa$00Fv$00Ee$10D $10Br$10Ae$209o$208p$207e$205n$304e$303d,Fingal's cave reopened.Map.Gbx,839838d2-d32b-4dc2-a369-3c9398229c8d,QdfVGAaUQX2lF1TMGKbETTDTtuh,62000,50000,44000,41258
$o[Mini-RPG] The $FB0EPIC CHICKEN $FB0QUEST,[Mini-RPG] The EPIC CHICKEN QUEST.Map.Gbx,4e60b253-6dfe-4491-9516-0a88d49ec0a1,QEcIh5VFlG8Cqq1eKEE3l8Pgpzb,64000,52000,46000,42549
$999$o$sMercury,Mercury.Map.Gbx,1c07c269-7e04-417e-b664-669d5a369934,Qjjm4cBMjp2pvxTkogGoeASYgRe,79000,63000,56000,52483
$s$ff0C$dd0u$BB0é$AA0l$880e$660b$560r$551e,Cuélebre.Map.Gbx,013501ae-3366-4397-bee7-5e3f992e36de,QOKt5Hb5l5SzPx04bn18QZGM3R4,77000,62000,55000,51024
$s$600C$722o$833w$844b$955o$a66y $b99S$caah$dbbo$eddw$eeee$fffr,Cowboy Shower.Map.Gbx,019106af-b0a2-49bf-bef9-b0a13e338ef7,raGgN54xJrxI8CsUJPsBDztJK00,64000,52000,46000,42605
NEO-CUPRA - $0bfÚLTIMO GALACTIC RUSH,NEO-CUPRA_-_ULTIMO_GALACTIC_RUSH.Map (1).Gbx,bdab1639-b215-45b7-96df-4d7d6738ffd7,RLNw7V99h13iDfLNgQ0aMupaF22,79000,63000,56000,52308
$s$o$i$fffNivelleth,Nivelleth.Map.Gbx,311a04e8-d915-4844-8730-26836a8d38aa,RnpKmwV4fdP9IKHp2YBH8BmeVib,64000,52000,46000,42500
$w$s$o$06FMilkyWay$o$w$FF9,MilkyWay.Map.Gbx,fa3ede74-a320-444a-a7dc-702dd3a85e92,sEm0IbGEdMlAPJ1EbyJrTnReimf,75000,60000,53000,49865
$DA2I$EB3s$EB5e$FC6n$FC6g$EB5a$EB3r$DA2d,Isengard.Map.Gbx,781306bf-5300-4420-82b6-3feedf5926df,SZq52DyLp_MSX4gACtIUhi2Qkvl,72000,58000,51000,47800
Fracture,Fracture.Map.Gbx,5776ced4-210f-4bfe-a4c5-b931edf21b28,T_t224E9c2max6On59vemefk1z1,58000,47000,41000,38634
$s$iSeasonal Sprint,Seasonal_Sprint.Map (1).Gbx,2468dc3a-c77e-49f2-a641-aa72a9bb84fd,tb9C5nKoNNRzIJQCVhqp82eFaKe,88000,70000,62000,58055
$o$F70ATOMIC $F70ASCENT $g$zft' Nazgor,ATOMIC ASCENT ft' Nazgor.Map.Gbx,d55c8007-da06-4f6d-bf35-ba0d3b42b6d3,THC2KWupo3WpF_aM2KnJiOwW2zb,69000,56000,49000,45855
FS at Home,FS at Home.Map.Gbx,54ff14a7-e681-41eb-a11e-8167c8c619f8,ThSGYbMtWI97ZSCp8YvOtZniT44,61000,49000,43000,40216
$o$s$F60T$E52E$D44C$C36H$B28I$A1AE$90CS,TECHIES.Map.Gbx,4b1d1af8-63d9-4be0-a869-9d17c384ea39,u0QlFUSLovx6HABJ5YabX9_yHYe,70000,56000,49000,46203
Nika,Nika.Map.Gbx,8968e4ed-6594-4339-8eef-ecabfa2cd450,UI8eAeGWZegAPeSnUo5TMeDirUm,69000,56000,49000,45943
$i$s$f70Desert Spine,Desert_Spine.Map (1).Gbx,ed68952e-d09f-4bbd-bd89-49dd480c7b2c,UoHtIRlbess7Ke4zaWCKQQpafLb,68000,55000,49000,45300
$39CBabylone,Babylone.Map.Gbx,96bd7f8f-74d9-4ab8-bb9a-ad028728054c,v6UPZ63uwylGMVLkyFx_IgOPXnk,71000,57000,50000,46764
$i$44f$sChildhood $fffDream $zft' XLRB,Childhood_Dream_ft_XLRB.Map.Gbx,b76d184f-d7f8-41a9-9e1e-b92b5d7cecc5,vBxqWdHV_nKlydOWKgcVY4mB5z,83000,67000,59000,55260
$i$s$w $3FFC$5FFr$6FFi$6FFs$3FFp, Crisp.Map.Gbx,d6aeaa04-6a50-4c57-a22d-8efee32009cc,vM3_ODEFa_SpVFC2NodIzLy8oe1,63000,50000,45000,41528
$o$s$4f0$060U$070N$170D$180I$290S$2a0T$2b0U$3c0R$3d0B$4e0E$4f0D,UNDISTURBED.Map.Gbx,fafb482d-4fdf-4d00-b7eb-c8be48b860f3,VOoueCpyckW8TNU1FBohaYwiQba,64000,52000,46000,42600
Content,Content.Map.Gbx,45618fef-a929-4e83-9ddd-9715e057c0ec,x9QZsazTK3Zt7LRzsB84sRIu0t7,66000,53000,47000,43981
$DDFTiefschnee,Tiefschnee.Map (1).Gbx,d8611fa5-070c-4196-9e16-fedb2f6f758a,Y8XQNf42cjB7e3ui9aDMP0KC5hb,70000,56000,49000,46065
$o$i$s$E44F$E54lo$E64r$E74a$F75 $F85P$F95at$FA5h $fffft$fa5' $fffspeq,Flora Path ft' speq.Map.Gbx,ec8c3d6b-cb16-431f-a8ad-984f70c3e66e,ys91pUtoRQPrDQ8j8OS5SyH8oMg,76000,61000,54000,50532
Sylvan,Sylvan.Map.Gbx,e8701b07-a000-4502-b981-e3f5e8714695,Yx3hGWqb3S0X_Fpf6jC0G6oGRh,66000,53000,47000,43958
$I$F00Maho$fff$ gany ft' XLRB,Mahogany ft' XLRB.Map.Gbx,25d1c3ed-4241-4583-9996-d9c34406a36b,z09_DstEcaGZw7oMbTorqDZWqk4,66000,53000,47000,43469
$s$aaaP$aa9um$b98p$b97k$b86i$b85n $c84P$c73i$c72e,Pumpkin Pie.Map.Gbx,ae96003b-5f6c-41ca-b670-a665a0e900fb,Z0VH0RII7IOH7IRZIcfacCLkrn,73000,59000,52000,48582
Maze of the day,Maze of the day.Map.Gbx,c2d30b19-4734-44b9-af86-cb996cd981eb,ZaZDtt5KeAFXzJJXVXGoMowY3N9,45000,36000,32000,29793
$i$o$96CThe $FFFMilk $96CMan $fff$i$o(Safe),The Milk Man (Safe).Map.Gbx,443af453-6988-4917-91c6-bb92e9be99c3,zDwcytHeIZ3fsMkKm9hCBGTtfm8,67000,53000,47000,44144
Drum Beating,Drum Beating.Map.Gbx,22f2cad6-e8b3-4fab-ae34-751bf4af66b3,_i429uK1CgBK3wvH3wjDMY9emQg,66000,53000,47000,43986
$i$o$36CSh$30Fen$60F-z$90Fin $93CSu $i$FFFFt Ealipse,Shen-zin Su Ft Ealipse.Map.Gbx,668a409d-a215-42cc-8b8f-88b1c0c01313,0dL3BzV21cbWhbMWoG8xYGO_iM6,81000,65000,57000,53758
$o The Fisherman, The Fisherman.Map.Gbx,5e79a40a-ee1a-4a08-a135-5358dc83f94c,1NrBY8wVzupcTEhg80P0Xi9s9Zh,75000,60000,53000,49706
$sCCP#23 - $6FCF$7FCi$7FDr$8FDni$9FDf$9FEi$AFEca$BFEt$BFFi$CFFon,CCP23_-_Firnification.Map.Gbx,85b69bc0-2815-4dd8-ad1a-194c7b59918b,1y4W6wHVJtgEv_womcpB5iU3u69,71000,57000,50000,46806
$i$0dfE$fffternit$999y,79ABB67E3AB73E32F23D52F2941243CB8841AA44673A621B0E5B9A3C515D05C7648AD98C23F22F66D643F2D608289033.Map.Gbx,9e2e5a86-9643-4f4b-a7e2-2458403e361f,3c1uklnfvKP1IG04MtXSc2kBgV6,65000,52000,46000,43315
$0CFD$1DFet$2EFer$3FFmi$3FFnistic $FF6D$FE5e$FC3e$FB2p$F90 $F90D$F60i$F30p$F00,90D3C69AB973FD36BD3C67E3B0B35F336817D366C5BC940EBE9957E63184A164B5D85459F538EF62D7ACD119EB74B52E.Map.Gbx,f5738b33-dade-4608-8d10-ae5da115bdf0,40wRp4onzAU7klH10CXYMyXEBHl,32000,26000,23000,20881
$s$i$o$F00Watern't 3,Watern't 3.Map.Gbx,79324244-7426-400a-b474-223a6520cf61,4X8AobZpAgnk_zeq2FuQ1HGyvW9,72000,57000,51000,47396
$306Black $90cRose $FFFft KarjeN,Black Rose ft KarjeN.Map.Gbx,b992eebd-f048-4fc7-a90c-2b321597d28a,5i6eQFrFOh50XqsBzSaF5AE8Yp8,75000,60000,53000,49500
$o$A60FS$fffOTW | $fffV$000OR$f00TEX,FSOTW___VORTEX.Map.Gbx,f758e03a-e15d-4ce1-84a2-b72f60eebf68,5IZH_Qw_gC_uteLULfvl8DvZnDd,62000,50000,44000,40994
$C9FD$ABDi$8CBs$5E8s$3F6o$3F6n$6B5a$983n$C42c$F00e,Dissonance.Map.Gbx,8be5ad06-a425-49bb-9fd2-b48816bed53f,6CcpgMk94NoP8KXYhiMfcQ8cBI7,67000,54000,48000,44371
$acaAb Un$ac9d$ad9is $ad8Vi$ae8ri$ae7di$af7bu$af6s,Ab Undis Viridibus.Map.Gbx,8f7d428a-5905-4faf-a516-13dfe714647e,6XU1d3Ea2RzVwym0jefLlAFVBhc,55000,50000,47000,44935
$oCCP$02f#$fff25 - $i$02fB$ffflåfjell ft$02f'$fff Scarzor,CCP25_-_Blafjell_ft_Scarzor.Map.Gbx,4f69baf7-2df1-4d97-8378-3ad14fccaa9c,A3z6GuBoUz9ASUqVIGJieN1h_C,71000,57000,50000,46822
$FDA$oVanilla Sky,Vanilla Sky.Map.Gbx,fbe7a34f-5833-4837-b18c-5d762bad207d,ADj5UCjoxJCppggf6SsVqXi3kM,62000,50000,44000,40930
Lakeside,Lakeside.Map.Gbx,98ed488e-30a9-44ab-ad65-66308c47d570,AQuXmntpxvR9txdC_Vhb9C1N2Ii,70000,60000,55000,53363
$sverses of poetry,verses of poetry.Map.Gbx,4ee3fe08-737d-4c8c-9341-d2d334683682,CAw3kvJNDIsVI3Hp0us4_bxP_ri,89000,71000,63000,58740
$3C0C$5C1h$6C2a$8C2n$9C3g$BC4e$CC5s$EC5 $FC6F$FC6t$FC7 $FD8O$FD9H$FEBI$FECO$FED_$FFEJ$FFFG,Changes Ft OHIO_JG.Map.Gbx,fb3777fc-e260-4dd2-a37e-702f2a0628cf,cfQYjTzrRAyXctfkl1MH0JtmRWc,59000,48000,42000,39311
$o$F6FHowl's Moving Castle,Howl's Moving Castle.Map.Gbx,013cfabf-9091-4813-ae62-6cebe52aa40f,ClF9ty2T55DZq4a8619TMvke5P7,66000,53000,47000,43495
$s[$f33L$f60G$f33Z$fff] $9cfSlippery ,[LGZ] Slippery .Map.Gbx,54599b9b-176d-4631-beab-be845db36789,dcqLfZMKIaEpaxQCYr5SyBAkYj,66000,53000,47000,43718
Ice Cold,Ice Cold.Map.Gbx,a03807f3-a1ef-414e-8b11-12d7592add49,dibenUV1YLXbAhZOWJqnIOMtJcd,55000,44000,39000,36444
Shaky Sands 2 ft' Henkisme,Shaky Sands 2 ft' Henkisme.Map.Gbx,94e2567e-6033-48f6-9e9d-ecbdf681d06a,dnH_MrICUET6SlMyEbfQexJ91mc,60000,48000,43000,39804
$i$o$00FL$ff0anturn$00Fe,Lanturne.Map.Gbx,6eee43cf-6567-4670-beca-fb34b5ba3e75,dowdBXoc3yp1KhpltksTB9ih196,69000,55000,49000,45548
$i$s$f80E$fffsper$f80 ft$fff mime $f80&$fff Isirix,Esper ft mime & Isirix.Map.Gbx,0fc6b551-fcf4-46a0-b9a6-82b753c68e5f,dXQUBcHpJIlsfDk2Ns4unnhhkxg,58000,46000,41000,38318
Dissolution,Dissolution.Map.Gbx,345a6f13-7efa-4f9e-b166-ffd50e0c61fd,eE4PFcW4yhboOeNVEAi0esxOswe,60000,48000,43000,39738
$o$f00Flipping $09fGravity,flipping gravity.Map.Gbx,bc8474d4-eea7-4b5b-a58e-86357ed31503,ezFqF8IRnviY_VjdEb9ydk6Y0S1,70000,56000,50000,46358
$o$cccMTC $fff- $cccAlta Neu,MTC - Alta Neu.Map.Gbx,80b07c49-1ae3-4f26-a877-1ba2efcff6a8,EzoKSN_XcMuS_FhoAok14FYo3qd,39000,31000,27000,25352
CCP#24 - The Night Before Christmas ft' Zengo,CCP24_-_The_Night_Before_Christmas_ft_Zengo.Map.Gbx,301292b5-15bb-46a0-8f00-b21df0279d35,f7w32yAPSLNVChB5hp7Jsszc9y3,87000,69000,59000,57484
$779V$77aio$87alac$97be$96bi L$a6ba$a6cpi$b6cde$c6cs $c6dft $d6dal$d6ee$e6exS,Violacei Lapides ft alexS.Map.Gbx,c0a6cbce-3488-4554-ac29-ace966f2335f,fPFRM776LkYYreosr9SXbHT4cxa,54000,50000,47170,46688
$s$6F0T$5E0e$5D0n$4B0c$4A0h$390o $FFFft' Intax,Tencho ft' Intax.Map.Gbx,fccabcd1-88bf-41ef-b298-5c7e022ee632,fpheGVP0OJ99FrUUVNZZUFSTJCm,78000,62000,55000,51448
$0d0Summerland,Summerland.Map.Gbx,50073a07-29ed-4800-a681-ad1388bab08d,FsTXFpa6VF1RxdPHj0qS7TTXxTb,59000,48000,42000,39201
$n$s $cf6 Down$9f6side$3f0 Up,  Downside Up.Map.Gbx,e63d5d43-9107-44ee-a242-8957ddaf482a,G6H0vdszIViaJaSwYWYHOxwwGA2,55000,44000,39000,36503
"$o$t$000'$FFFA$CCCC$999R$333O$000B$306A$60CT$96CE$C9FC$FCFH$9F9!
",'ACROBATECH!.Map.Gbx,c2ef911b-a39f-4fa2-9f10-59d3dc49ab0e,GDPdoWoK7p3QHy1skI9r8rYfpvi,62000,50000,44000,41103
Formula Surf,Formula Surf.Map.Gbx,993ce1f7-0b52-4382-a9d5-63f45a363805,GKrc7D2XhmygqyZCSfUnbjH7Qj8,69000,55000,49000,45746
Master of None,Master of None.Map.Gbx,b15e6e03-13a7-495a-9251-9843ebe4b282,H8uIjS4Ovg8_VCNFAAKNdhRoYGj,62000,50000,44000,40980
$s$ec1Urban Uphill $06fft Rabbi,Urban Uphill ft Rabbi.Map.Gbx,bdc715fa-4363-4af8-a746-1ef2303e5d20,HsZUWl7I2hWe72C73Dm93fbLj_2,72000,57000,51000,47405
$i$s$fffCCP$088#$fff20 $fff- $088Au$087ro$187r$186a $fffft $184Wh$284i$283sk$282ey,CCP20_-_Aurora_ft_Whiskey.Map.Gbx,a1ac6a56-be1b-4745-82a0-168dadb23440,hxvTxpufYWmX76gd7lpyu1Vec61,76000,61000,54000,50548
